Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
Hoba,"Iron, IVB",60000000,Found,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=11890,17.91667,-19.58333
Cape York,"Iron, IIIAB",58200000,Found,1818,http://www.lpi.usra.edu/meteor/metbull.php?code=5262,-64.93333,76.13333
Campo del Cielo,"Iron, IAB-MG",50000000,Found,1576,http://www.lpi.usra.edu/meteor/metbull.php?code=5247,-60.58333,-27.46667
Canyon Diablo,"Iron, IAB-MG",30000000,Found,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=5257,-111.03333,35.05
Armanty,"Iron, IIIE",28000000,Found,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=2335,88,47
Gibeon,"Iron, IVA",26000000,Found,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=10912,18,-25.5
Chupaderos,"Iron, IIIAB",24300000,Found,1852,http://www.lpi.usra.edu/meteor/metbull.php?code=5363,-105.1,27
Mundrabilla,"Iron, IAB-ung",24000000,Found,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=16852,127.55,-30.78333
Sikhote-Alin,"Iron, IIAB",23000000,Fell,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=23593,134.65333,46.16
Bacubirito,"Iron, ungrouped",22000000,Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=4919,-107.83333,26.2
Mbosi,"Iron, ungrouped",16000000,Found,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=15456,33.06667,-9.11667
Willamette,"Iron, IIIAB",15500000,Found,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=24269,-122.58333,45.36667
Morito,"Iron, IIIAB",10100000,Found,1600,http://www.lpi.usra.edu/meteor/metbull.php?code=16745,-105.43333,27.05
Nantan,"Iron, IAB-MG",9500000,Found,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=16906,107.7,25.1
Cranbourne,"Iron, IAB-MG",8600000,Found,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=5463,145.3,-38.1
Santa Catharina,"Iron, IAB-ung",7000000,Found,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=23162,-48.6,-26.21667
Bendeg?_,"Iron, IC",5360000,Found,1784,http://www.lpi.usra.edu/meteor/metbull.php?code=5015,-39.2,-10.11667
Brenham,"Pallasite, PMG-an",4300000,Found,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=5136,-99.16361,37.5825
Jilin,H5,4000000,Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=12171,126.16667,44.05
Vaca Muerta,Mesosiderite-A1,3828000,Found,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=24142,-70.5,-25.75
Toluca,"Iron, IAB-sLL",3000000,Found,1776,http://www.lpi.usra.edu/meteor/metbull.php?code=24018,-99.56667,19.56667
Xifu,"Iron, IAB complex",3000000,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=54608,120.48333,36.3
Al Haggounia 001,Aubrite,3000000,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=44857,-12.5,27.5
Old Woman,"Iron, IIAB",2753000,Found,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=18007,-115.23333,34.46667
Wabar,"Iron, IIIAB",2550000,Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=24194,50.47222,21.49972
Huckitta,"Pallasite, PMG-an",2300000,Found,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=11922,135.76667,-22.36667
Navajo,"Iron, IIAB",2184000,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=16926,-109.5,35.33333
Coahuila,"Iron, IIAB",2100000,Found,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=5387,-102.73333,28.7
Henbury,"Iron, IIIAB",2000000,Found,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=11872,133.16667,-24.56667
Allende,CV3,2000000,Fell,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2278,-105.31667,26.96667
Campinorte,"Iron, ungrouped",2000000,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=52093,-49.15917,-14.258
Santa Luzia,"Iron, IIAB",1918000,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=23166,-47.95,-16.26667
Ghubara,L5,1750000,Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=10911,56.14278,19.22778
Odessa (iron),"Iron, IAB-MG",1600000,Found,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=17985,-102.4,31.71667
Gebel Kamil,"Iron, ungrouped",1600000,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52031,26.08778,22.01833
Casas Grandes,"Iron, IIIAB",1545000,Found,1867,http://www.lpi.usra.edu/meteor/metbull.php?code=5285,-107.8,30.4
Bitburg,"Iron, IAB complex",1500000,Found,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=5062,6.53333,49.96667
Quinn Canyon,"Iron, IIIAB",1450000,Found,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=22364,-115.53333,38.08333
Charcas,"Iron, IIIAB",1400000,Found,1804,http://www.lpi.usra.edu/meteor/metbull.php?code=5326,-101.01667,23.08333
Santa Apolonia,"Iron, IIIAB",1316000,Found,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=23160,-98.3,19.21667
Tsarev,L5,1225300,Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=24058,45.7,48.7
Alkhamasin,"Iron, IIAB",1200000,Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=475,44.88333,20.6
Kouga Mountains,"Iron, IIIAB",1173000,Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=12352,24,-33.61667
Goose Lake,"Iron, IAB-sLL",1169500,Found,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=10947,-120.54167,41.98
Murnpeowie,"Iron, IC",1143000,Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=16878,139.9,-29.58333
Norton County,Aubrite,1100000,Fell,1948,http://www.lpi.usra.edu/meteor/metbull.php?code=17922,-99.86667,39.68333
Kunya-Urgench,H5,1100000,Fell,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=12379,59.2,42.25
Fukang,"Pallasite, PMG",1003000,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=34491,87.63333,44.43333
Bilibino,"Iron, IIAB",1000000,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=5046,160.8,67.3
Los Sauces,Iron,997000,Found,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=14710,-66.85,-29.41667
Tucson,"Iron, ungrouped",975000,Found,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=24061,-110.96667,31.85
Cosby's Creek,"Iron, IAB-MG",960000,Found,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=5450,-83.25,35.78333
Imilac,"Pallasite, PMG",920000,Found,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=12025,-68.80667,-24.20333
Bondoc,Mesosiderite-B4,888600,Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=5103,122.45,13.51667
Santa Rosa,"Iron, IC",825000,Found,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=23167,-73,5.91667
Brahin,"Pallasite, PMG",823000,Found,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=5130,30.33333,52.5
Red River,"Iron, IIIAB",800000,Found,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=22548,-95,32
Sardis,"Iron, IAB complex",800000,Found,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=23177,-81.865,32.94889
Wolf Creek,"Iron, IIIAB",760000,Found,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=24326,127.76667,-19.3
Esquel,"Pallasite, PMG",755000,Found,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=10054,-71.33333,-42.9
Gladstone (iron),"Iron, IAB-MG",736600,Found,1915,http://www.lpi.usra.edu/meteor/metbull.php?code=10920,151.3,-23.9
Mount Dooling,"Iron, IC",734000,Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=16771,119.71667,-29.45
Krasnojarsk,"Pallasite, PMG-an",700000,Found,1749,http://www.lpi.usra.edu/meteor/metbull.php?code=12356,91.8,54.9
Plainview (1917),H5,700000,Found,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=18841,-101.78333,34.11667
Ngiangri,Iron,700000,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=16967,87.8,32.2
Davis Mountains,"Iron, IIIAB",689000,Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=6615,-104.25,30.75
Arispe,"Iron, IC",683000,Found,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=2332,-109.98333,30.33333
Itapuranga,"Iron, IAB-MG",628000,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=12057,-50.15,-15.58333
La Caille,"Iron, ungrouped",626000,Found,1828,http://www.lpi.usra.edu/meteor/metbull.php?code=12393,6.78333,43.73333
Jianshi,"Iron, IIIAB",600000,Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=12087,109.5,30.80833
Adzhi-Bogdo (iron),"Iron, IAB complex",582000,Found,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=389,95.41667,44.86667
Long Island,L6,564000,Found,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=14694,-99.6,39.93333
JaH 073,L6,550000,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12135,55.73333,19.7
Rateldraai,"Iron, IIIAB",549000,Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=22397,21.13333,-28.83333
Drum Mountains,"Iron, IIIAB",529000,Found,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=7733,-112.9,39.5
Grant,"Iron, IIIAB",525000,Found,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=10957,-107.88333,35.16667
Tamentit,"Iron, IIIAB",510000,Found,1864,http://www.lpi.usra.edu/meteor/metbull.php?code=23798,-0.25,27.71667
Trenton,"Iron, IIIAB",505000,Found,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=24045,-88.13333,43.36667
Haig,"Iron, IIIAB",503000,Found,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=11471,125.63333,-31.38333
Prambanan,"Iron, ungrouped",500000,Found,1797,http://www.lpi.usra.edu/meteor/metbull.php?code=18884,110.83333,-7.56667
Knyahinya,L/LL5,500000,Fell,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=12335,22.4,48.9
Ochansk,H4,500000,Fell,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=17979,55.26667,57.78333
Boxhole,"Iron, IIIAB",500000,Found,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=5126,135.2,-22.61667
El Timbu,Iron,500000,Found,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=7820,-60.96667,-33.11667
Wildara,H5,500000,Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=24265,120.85,-28.23333
Jepara,"Pallasite, PMG",499500,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=53840,110.73333,-6.6
Saint-Aubin,"Iron, IIIAB",472000,Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=23096,3.58333,48.48333
Carbo,"Iron, IID",454000,Found,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=5266,-111.5,29.66667
Etter,L5,450000,Found,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=10062,-101.9,35.98333
SaU 001,L5,450000,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23193,56.66667,20.51667
Wallapai,"Iron, IID",430000,Found,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=24206,-113.7,35.8
Ulasitai,Discredited,430000,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=34492,91.4025,44.95667
Paragould,LL5,408000,Fell,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=18101,-90.5,36.06667
ALHA76009,L6,407000,Found,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=1316,159.66667,-76.71667
Augustinovka,"Iron, IIIAB",400000,Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=4898,35.08333,48.06667
Pei Xian,Iron,400000,Found,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=18784,117,34.7
Mount Joy,"Iron, IIAB",384000,Found,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=16779,-77.21667,39.78333
Mont Dieu,"Iron, ungrouped",360000,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=16722,4.86667,49.55
Hugoton,H5,350000,Found,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=11984,-101.35,37.2
Longtian,"Iron, IIIAB",350000,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=14696,108.5,27.35
Kokstad,"Iron, IIIE",341000,Found,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=12341,29.41667,-30.55
Bjurb?le,L/LL4,330000,Fell,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=5064,25.8,60.4
Millbillillie,Eucrite-mmict,330000,Fell,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=16643,120.36667,-26.45
Mount Edith,"Iron, IIIAB",326000,Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=16773,116.16667,-22.5
Sterlitamak,"Iron, IIIAB",325000,Fell,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=23724,55.98333,53.66667
Seymchan,"Pallasite, PMG",323300,Found,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=23510,152.43333,62.9
Estherville,Mesosiderite-A3/4,320000,Fell,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=10059,-94.83333,43.41667
Tamarugal,"Iron, IIIAB",320000,Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=23794,-69.66667,-20.8
Guffey,"Iron, ungrouped",309000,Found,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=11441,-105.51667,38.76667
Nova Petropolis,"Iron, IIIAB",305000,Found,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=17928,-50.91667,-29.43333
Gressk,"Iron, IIAB",303000,Found,1955,http://www.lpi.usra.edu/meteor/metbull.php?code=11200,27.33333,53.23333
Bruderheim,L6,303000,Fell,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=5156,-112.88333,53.9
North Chile,"Iron, IIAB",300000,Found,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=17001,-69,-23
Mocs,L5-6,300000,Fell,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=16709,24.03333,46.8
Putinga,L6,300000,Fell,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=18905,-53.05,-29.03333
Tianlin,"Iron, IAB complex",300000,Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=23983,106.1,24.3
Morland,H6,295000,Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=16746,-100.06667,39.33333
Estacado,H6,290000,Found,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=10057,-101.75,33.9
Morasko,"Iron, IAB-MG",290000,Found,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=16741,16.9,52.46667
Bur-Abor,"Iron, IIIAB",290000,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5166,41.65,3.98333
Clovis (no. 1),H3.6,283000,Found,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=5385,-103.13472,34.3
Rio Limay,L5,280000,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=22609,-69.48333,-39.85
Sanclerlandia,"Iron, IIIAB",279000,Found,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=23132,-50.3,-16.21667
South Dahna,"Iron, IAB complex",275000,Found,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=23677,48.3,22.56667
Mount Padbury,Mesosiderite-A1,272000,Found,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=16785,118.1,-25.66667
Saint-S?verin,LL6,271000,Fell,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=23102,0.23333,45.3
Lake Murray,"Iron, IIAB",270000,Found,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=12446,-97,34.1
Miles,"Iron, IIE",265000,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=16641,150.33333,-27.83333
Potter,L6,261000,Found,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=18878,-103.3,41.23333
Tishomingo,"Iron, ungrouped",260000,Found,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=24010,-96.68333,34.25
Suizhou,L6,260000,Fell,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=23738,113.46667,31.61667
Dalgety Downs,L4,257000,Found,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=5507,116.18333,-25.33333
Boguslavka,"Iron, IIAB",256000,Fell,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=5098,131.63333,44.55
Dho 020,H4/5,256000,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6719,54.51667,19.03333
Uegit,"Iron, IIIAB",252000,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=24105,43.33333,3.81667
Netscha??vo,"Iron, IIE-an",250000,Found,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=16949,35.15,54.23333
Pultusk,H5,250000,Fell,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=18901,21.26667,52.76667
Omolon,"Pallasite, PMG",250000,Fell,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=18019,161.80833,64.02
Shangdu,"Iron, IIIAB",247000,Found,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=23523,114,42.5
St. Genevieve County,"Iron, IIIF",244500,Found,1888,http://www.lpi.usra.edu/meteor/metbull.php?code=23086,-90.31667,37.96667
El Hammami,H5,240000,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=7806,-10.81667,23.28333
Sacramento Mountains,"Iron, IIIAB",237200,Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=22794,-104.66667,32.91667
New Concord,L6,230000,Fell,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=16953,-81.76667,40
Homestead,L5,230000,Fell,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=11901,-91.86667,41.8
Muonionalusta,"Iron, IVA",230000,Found,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=16873,23.1,67.8
Alfianello,L6,228000,Fell,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=466,10.15,45.26667
Bear Creek,"Iron, IIIAB",227000,Found,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=4982,-105.3,39.6
Holbrook,L/LL6,220000,Fell,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=11894,-110.18333,34.9
Guixi,"Iron, IIIAB",220000,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=11446,117.18333,28.28333
Acu?a,"Iron, IIIAB",217700,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=373,-100.96667,29.31667
Ssyromolotovo,"Iron, IIIAB",217000,Found,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=23694,98.93333,58.61667
Chinga,"Iron, ungrouped",209400,Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=5353,94.4,51.05833
Barratta,L4,200000,Found,1845,http://www.lpi.usra.edu/meteor/metbull.php?code=4951,144.56667,-35.3
Lowell,Doubtful meteorite,200000,Fell,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=14717,-71.35,42.68333
Saratov,L4,200000,Fell,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=23176,46.55,52.55
Patos de Minas (octahedrite),"Iron, IAB complex",200000,Found,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=18114,-46.53333,-18.58333
Kainsaz,CO3.2,200000,Fell,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=12229,53.25,55.43333
Dimmitt,H3.7,200000,Found,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=7645,-102.16667,34.58333
Kunashak,L6,200000,Fell,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=12377,61.36667,55.78333
Liangcheng,"Iron, IIIAB",200000,Found,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=14645,112.5,40.5
JaH 055,L4-5,200000,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=12119,55.69,19.65167
Porto Alegre,"Iron, IIIE",200000,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=52091,-51.23,-30.03306
Moshesh,H,200000,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=16756,28.71667,-30.1
Pallasovka,"Pallasite, PMG",198000,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=34061,46.61167,49.86667
Kenton County,"Iron, IIIAB",194000,Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=12280,-84.6,38.81667
Owens Valley,"Iron, IIIAB",192800,Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=18061,-118,37.46667
Guanghua,"Iron, IVA",190000,Found,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=11434,111.7,32.4
Admire,"Pallasite, PMG",180000,Found,1881,http://www.lpi.usra.edu/meteor/metbull.php?code=380,-96.1,38.7
Travis County (a),H5,175400,Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=24040,-97.7,30.3
Iron Creek,"Iron, IIIAB",175000,Found,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=12047,-112,53
Tanokami Mountain,"Iron, IIIE",174000,Found,1885,http://www.lpi.usra.edu/meteor/metbull.php?code=23872,135.96667,34.91667
Tamir-Tsetserleg,Stone-uncl,173000,Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=23799,101.47917,47.45
Owasco,L6,168400,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=18060,-103.68333,41.2
Madoc,"Iron, IIIAB",168000,Found,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=15381,-77.46667,44.5
Manlai,"Iron, ungrouped",166800,Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=15407,106.5,44.33333
Djati-Pengilon,H6,166000,Fell,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=7652,111.5,-7.5
S?o Juli?o de Moreira,"Iron, IIAB",162000,Found,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=23172,-8.58361,41.76611
Knowles,"Iron, IIIAB",161000,Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=12334,-100.21667,36.9
Tenham,L6,160000,Fell,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=23897,142.95,-25.73333
Garabato,H5,160000,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=10856,-60.2,-28.86667
Qijiaojing,"Iron, ungrouped",160000,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=54610,92.91667,43.75
Mount Vernon,"Pallasite, PMG",159000,Found,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=16806,-87.4,36.93333
Longchang,"Iron, IVA-an",158500,Found,1781,http://www.lpi.usra.edu/meteor/metbull.php?code=14695,105.3,29.3
Kimble County,H6,153800,Found,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=12311,-99.4,30.41667
Bluff (a),L5,153300,Found,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=5087,-96.87222,29.87861
Forest City,H5,152000,Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=10119,-93.66667,43.25
Glasatovo,H4,152000,Fell,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=10926,37.61667,57.35
Weston,H4,150000,Fell,1807,http://www.lpi.usra.edu/meteor/metbull.php?code=24249,-73.266667,41.266667
Magura,"Iron, IAB-MG",150000,Found,1840,http://www.lpi.usra.edu/meteor/metbull.php?code=15388,19.48333,49.33333
McKinney,L4,150000,Found,1870,http://www.lpi.usra.edu/meteor/metbull.php?code=15463,-96.71667,33.18333
Olivenza,LL5,150000,Fell,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=18013,-7.06667,38.71667
Wiluna,H5,150000,Fell,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=24281,120.32833,-26.59278
Mbale,L5/6,150000,Fell,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=15455,34.16667,1.06667
Tres Castillos,"Iron, ungrouped",150000,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=24047,-105.8,29.47
Jalu,L6,150000,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=12070,21.68333,27.95833
Shirokovsky,Pseudometeorite,150000,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=44849,57.95,58.8
Montferr?,H5,149000,Fell,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=16727,1.9625,43.39056
Orange River (iron),"Iron, IIIAB",148800,Found,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=18023,25,-30
Glorieta Mountain,"Pallasite, PMG-an",148000,Found,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=10935,-105.8,35.6
Camp Wood,"Iron, IIIAB",148000,Found,1960s,http://www.lpi.usra.edu/meteor/metbull.php?code=51830,-99.875,29.7725
Gilgoin,H5,147000,Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=10915,147.2,-30.38333
Wichita County,"Iron, IAB-MG",145000,Found,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=24257,-98.91667,34.06667
Molina,H5,144000,Fell,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=16715,-1.16667,38.11667
Keyes,L6,142000,Found,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=12287,-102.5,36.71667
El Sampal,"Iron, IIIAB",142000,Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=7817,-70.36667,-44.53333
Tambo Quemado,"Iron, IIIAB",141000,Found,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=23797,-74.5,-14.66667
Selma,H4,140600,Found,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=23486,-87,32.4
Huizopa,"Iron, IVA",140000,Found,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=11985,-108.56667,28.9
Ider,"Iron, IIIAB",140000,Found,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=11999,-85.65,34.68333
Korra Korrabes,H3,140000,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=12347,18.08333,-25.2
Brainard,"Iron, IIIAB",138300,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=5131,-96.955,41.15333
DRPA78009,"Iron, IIAB",138100,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=6685,156.38333,-80.06667
Cape of Good Hope,"Iron, IVB",136000,Found,1793,http://www.lpi.usra.edu/meteor/metbull.php?code=5261,26,-33.5
Babb's Mill (Blake's Iron),"Iron, ungrouped",136000,Found,1876,http://www.lpi.usra.edu/meteor/metbull.php?code=4915,-82.88333,36.3
Kesen,H4,135000,Fell,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=12286,141.61667,38.98333
Colomera,"Iron, IIE",134000,Found,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=5404,-3.65,37.43333
Carnegie,L6,132700,Found,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=5278,-98.64389,35.16667
Araslanovo,L/LL5,132000,Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=2324,48.2,55.14167
Karavannoe,"Pallasite, PES",132000,Found,1960s,http://www.lpi.usra.edu/meteor/metbull.php?code=56567,47.67967,57.78117
Dong Ujimqin Qi,Mesosiderite,128800,Fell,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=7706,119.03333,45.5
Chebankol,"Iron, IAB-sHL",127760,Found,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=5335,88,53.66667
