Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
A-881693,Stone-uncl,9.11,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4402,26,-72
FRO 90094,H5,9.11,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=10490,160.50126,-72.95431
Y-74098,H5,9.1,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24476,35.66667,-71.5
Y-74101,H5,9.1,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24479,35.66667,-71.5
ALHA78059,L6,9.1,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1675,159.66667,-76.71667
Y-790262,L6,9.1,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25611,35.66667,-71.5
Y-792028,Stone-uncl,9.1,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27377,35.66667,-71.5
Y-792666,H4,9.1,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28015,35.66667,-71.5
ALH 85140,H6,9.1,Found,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=1005,156.96202,-76.90833
LEW 86356,H5,9.1,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13287,161.35575,-84.27766
LEW 87225,H5,9.1,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13689,161.71039,-84.27297
EET 87619,L6,9.1,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8169,156.50089,-76.27602
LEW 88236,H5,9.1,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13988,161.42603,-84.23797
LEW 88065,H5,9.1,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13819,161.41512,-84.24473
LEW 88097,H5,9.1,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13851,161.40572,-84.25256
LEW 88338,L6,9.1,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14089,161.08333,-84.28333
